ID,PARENT_ID,ROLE_NAME
55,66,DB_PCDW_DB_RO
55,70,DB_PCDW_DB_RO
55,65,DB_PCDW_DB_RO
55,71,DB_PCDW_DB_RO
55,69,DB_PCDW_DB_RO
55,67,DB_PCDW_DB_RO
55,72,DB_PCDW_DB_RO
55,68,DB_PCDW_DB_RO
56,67,DB_PCDW_DB_RO
56,65,DB_PCDW_DB_RO
56,69,DB_PCDW_DB_RO
56,71,DB_PCDW_DB_RO
56,72,DB_PCDW_DB_RO
56,68,DB_PCDW_DB_RO
56,70,DB_PCDW_DB_RO
56,66,DB_PCDW_DB_RO
57,71,DB_PCDW_DB_RO
57,72,DB_PCDW_DB_RO
57,69,DB_PCDW_DB_RO
57,70,DB_PCDW_DB_RO
57,65,DB_PCDW_DB_RO
57,66,DB_PCDW_DB_RO
57,68,DB_PCDW_DB_RO
57,67,DB_PCDW_DB_RO
58,70,DB_PCDW_DB_RO
58,69,DB_PCDW_DB_RO
58,65,DB_PCDW_DB_RO
58,68,DB_PCDW_DB_RO
58,71,DB_PCDW_DB_RO
58,72,DB_PCDW_DB_RO
58,67,DB_PCDW_DB_RO
58,66,DB_PCDW_DB_RO
59,120,DB_PCDW_DB_RO
60,117,DB_PCDW_DB_RO
61,128,DB_PCDW_DB_RO
62,123,DB_PCDW_DB_RO
63,67,DB_PCDW_DB_RO
63,68,DB_PCDW_DB_RO
63,72,DB_PCDW_DB_RO
63,65,DB_PCDW_DB_RO
63,66,DB_PCDW_DB_RO
63,69,DB_PCDW_DB_RO
63,70,DB_PCDW_DB_RO
63,71,DB_PCDW_DB_RO
64,122,DB_PCDW_DB_RO
65,46,DB_PCDW_DB_RW
65,49,DB_PCDW_DB_RW
65,48,DB_PCDW_DB_RW
65,50,DB_PCDW_DB_RW
65,51,DB_PCDW_DB_RW
65,47,DB_PCDW_DB_RW
66,123,DB_PCDW_DB_RW
67,152,DB_PCDW_DB_RW
68,51,DB_PCDW_DB_RW
68,47,DB_PCDW_DB_RW
68,50,DB_PCDW_DB_RW
68,46,DB_PCDW_DB_RW
68,48,DB_PCDW_DB_RW
68,49,DB_PCDW_DB_RW
69,51,DB_PCDW_DB_RW
69,50,DB_PCDW_DB_RW
69,49,DB_PCDW_DB_RW
69,48,DB_PCDW_DB_RW
69,46,DB_PCDW_DB_RW
69,47,DB_PCDW_DB_RW
70,48,DB_PCDW_DB_RW
70,49,DB_PCDW_DB_RW
70,51,DB_PCDW_DB_RW
70,46,DB_PCDW_DB_RW
70,47,DB_PCDW_DB_RW
70,50,DB_PCDW_DB_RW
71,48,DB_PCDW_DB_RW
71,46,DB_PCDW_DB_RW
71,51,DB_PCDW_DB_RW
71,50,DB_PCDW_DB_RW
71,47,DB_PCDW_DB_RW
71,49,DB_PCDW_DB_RW
72,51,DB_PCDW_DB_RW
72,48,DB_PCDW_DB_RW
72,46,DB_PCDW_DB_RW
72,50,DB_PCDW_DB_RW
72,47,DB_PCDW_DB_RW
72,49,DB_PCDW_DB_RW
73,123,DB_PCDW_DST_FA
74,115,DB_PCDW_DST_FA
74,116,DB_PCDW_DST_FA
75,126,DB_PCDW_DST_FA
76,1,DB_PCDW_DST_FA
77,152,DB_PCDW_DST_FA
78,116,DB_PCDW_DST_FA
78,115,DB_PCDW_DST_FA
79,92,DB_PCDW_DST_RO
79,99,DB_PCDW_DST_RO
79,98,DB_PCDW_DST_RO
79,97,DB_PCDW_DST_RO
79,96,DB_PCDW_DST_RO
79,95,DB_PCDW_DST_RO
79,94,DB_PCDW_DST_RO
79,93,DB_PCDW_DST_RO
80,92,DB_PCDW_DST_RO
80,99,DB_PCDW_DST_RO
80,98,DB_PCDW_DST_RO
80,97,DB_PCDW_DST_RO
80,96,DB_PCDW_DST_RO
80,93,DB_PCDW_DST_RO
80,95,DB_PCDW_DST_RO
80,94,DB_PCDW_DST_RO
81,98,DB_PCDW_DST_RO
81,95,DB_PCDW_DST_RO
81,92,DB_PCDW_DST_RO
81,93,DB_PCDW_DST_RO
81,97,DB_PCDW_DST_RO
81,96,DB_PCDW_DST_RO
81,94,DB_PCDW_DST_RO
81,99,DB_PCDW_DST_RO
82,98,DB_PCDW_DST_RO
82,93,DB_PCDW_DST_RO
82,97,DB_PCDW_DST_RO
82,99,DB_PCDW_DST_RO
82,96,DB_PCDW_DST_RO
82,94,DB_PCDW_DST_RO
82,92,DB_PCDW_DST_RO
82,95,DB_PCDW_DST_RO
83,99,DB_PCDW_DST_RO
83,92,DB_PCDW_DST_RO
83,98,DB_PCDW_DST_RO
83,93,DB_PCDW_DST_RO
83,97,DB_PCDW_DST_RO
83,96,DB_PCDW_DST_RO
83,94,DB_PCDW_DST_RO
83,95,DB_PCDW_DST_RO
84,92,DB_PCDW_DST_RO
84,98,DB_PCDW_DST_RO
84,97,DB_PCDW_DST_RO
84,93,DB_PCDW_DST_RO
84,96,DB_PCDW_DST_RO
84,99,DB_PCDW_DST_RO
84,95,DB_PCDW_DST_RO
84,94,DB_PCDW_DST_RO
85,93,DB_PCDW_DST_RO
85,94,DB_PCDW_DST_RO
85,92,DB_PCDW_DST_RO
85,95,DB_PCDW_DST_RO
85,99,DB_PCDW_DST_RO
85,98,DB_PCDW_DST_RO
85,96,DB_PCDW_DST_RO
85,97,DB_PCDW_DST_RO
86,97,DB_PCDW_DST_RO
86,93,DB_PCDW_DST_RO
86,94,DB_PCDW_DST_RO
86,92,DB_PCDW_DST_RO
86,95,DB_PCDW_DST_RO
86,96,DB_PCDW_DST_RO
86,98,DB_PCDW_DST_RO
86,99,DB_PCDW_DST_RO
87,123,DB_PCDW_DST_RO
88,122,DB_PCDW_DST_RO
89,119,DB_PCDW_DST_RO
90,117,DB_PCDW_DST_RO
91,128,DB_PCDW_DST_RO
92,75,DB_PCDW_DST_RW
92,74,DB_PCDW_DST_RW
92,76,DB_PCDW_DST_RW
92,77,DB_PCDW_DST_RW
92,78,DB_PCDW_DST_RW
92,73,DB_PCDW_DST_RW
93,73,DB_PCDW_DST_RW
93,74,DB_PCDW_DST_RW
93,78,DB_PCDW_DST_RW
93,77,DB_PCDW_DST_RW
