USER_NAME,ROLE_NAME
D_FADEL_ETL_USER,SCHRL_DCDW_DB_D_CDW_FADEL_TB_FULLACCESS
EDEGUZMAN44729,DST_ETL_DEVELOPER
EDEGUZMAN44729,QST_ETL_DEVELOPER
EDO_SANDBOX_SERVICE_ACCT,EDO_SANDBOX_USER
EDO_SANDBOX_USER,EDO_SANDBOX_USER
EKHVOSTOVA,PROD_ANALYST
ELIM44340,PROD_ANALYST
ELOPEZ45753,PROD_ANALYST
ELT_ACCT_BI_POWERUSER,PROD_ANALYST
EMASTERS,PROD_ANALYST
ERUMMER,EA_FPA_RO_RW_SANDBOX
ESANDVIK,PROD_ANALYST
ESCHULZ,PROD_ANALYST
ETL_LOAD_USER,SYSADMIN
FADEL_LOOKER,SCHRL_PCDW_DB_P_CDW_FADEL_TB_READONLY
FADEL_LOOKER,SCHRL_DCDW_DB_CDW_DM_TB_READONLY
FADEL_LOOKER,PROD_ANALYST
FADE_TEST,SYSADMIN
FIN_ACCT_BI_POWERUSER,PROD_ANALYST
FWANG44895,PROD_ANALYST
GSURESH44042,DST_ETL_DEVELOPER
GTHIRUGNANAM39999,DATA_ENGINEER
GTHIRUGNANAM39999,D_WORKDAY_BI_ANALYST
HANWAR,PROD_ANALYST
HANWAR,EA_ANALYST_RO_ALL_RW_SANDBOX
HANWAR,ACCOUNTADMIN
HANWAR,EDO_SANDBOX_USER
HCKOH,PROD_ANALYST
HNAGPAL,PROD_ANALYST
HNAGPAL,SCHRL_PCDW_DB_P_CDW_FADEL_TB_READONLY
HRACHUMALLU44976,PROD_ANALYST
HRACHUMALLU44976,QST_ETL_DEVELOPER
HTURNER45751,PROD_ANALYST
IFENG44951,PROD_ANALYST
ISCHWEIGER47111,PROD_ANALYST
ISCHWEIGER47111,EA_ANALYST_RO_ALL_RW_SANDBOX
ISYED46888,DST_ETL_DEVELOPER
ISYED46888,QST_ETL_DEVELOPER
ISYED46888,PROD_ANALYST
JASTEVEN,EA_FPABI_RO_RW_SANDBOX
JCARPENTER_SFC,ACCOUNTADMIN
JCARPENTER_SFC,SYSADMIN
JCHILTON,PROD_ANALYST
JDATZ,SYSADMIN
JDATZ,ACCOUNTADMIN
JDAVIS,PROD_ANALYST
JDAVIS,EA_SBO_RO_ALL_RW_SANDBOX
JGRAMS,PROD_ANALYST
JGRUBBS,EA_FPABI_RO_RW_SANDBOX
JGRUBBS,PROD_ANALYST
JHARRINGTON47195,NEW_ANALYST_FA
JHARRINGTON47195,DATA_OWNER_ROLE
JHARRINGTON47195,DST_ETL_DEVELOPER
JHARRINGTON47195,TEST_OWNER_1_ROLE
JHARRINGTON47195,OLD_BI_ROLE
JHARRINGTON47195,PROD_ANALYST
JHARRINGTON47195,EDO_SANDBOX_USER
JHARRINGTON47195,DATA_ENGINEER
JHARRINGTON47195,ACCOUNTADMIN
JHARRINGTON47195,TEST_OWNER_2_ROLE
JHARRINGTON47195,EA_ANALYST_RO_ALL_RW_SANDBOX
JHARRINGTON47195,OLD_ETL_ROLE
JHOLBROOK47172,PROD_ANALYST
JJACKSON,PROD_ANALYST
JJEFFERSON43519,PROD_ANALYST
JLEE46713,PROD_ANALYST
JMARCOULIER,PROD_ANALYST
JOLAFSSON,PROD_ANALYST
JPATEL41981,DST_ETL_DEVELOPER
JSCHAEFER,PROD_ANALYST
JSCHAEFER,EA_FPA_RO_RW_SANDBOX
JTRAURING46983,PROD_ANALYST
JWALSH,EA_FPA_RO_RW_SANDBOX
JWALSH,PROD_ANALYST
KCONNER,EDO_ADMIN_FA_ALL
KCONNER,DST_ETL_DEVELOPER
KCONNER,EA_ANALYST_RO_ALL_RW_SANDBOX
KCONNER,PROD_ANALYST
KCONNER2,DST_ETL_DEVELOPER
